Tax.Liens,Number.of.Open.Accounts,Years.of.Credit.History,Maximum.Open.Credit,Bankruptcies,Current.Loan.Amount,Current.Credit.Balance,Monthly.Debt,Credit.Default,Annual_Income,Months.since.last.delinquent,Home.Ownership_woe,Purpose_woe,Term_woe,Years.in.current.job_woe
0,11,26.3,685960,1,99999999,47386,7914,0,482087,30,0.092368046,-0.019463863,-0.235664764,-0.68396445
0,11,35,1182434,0,99999999,308389,13651,0,751412,30,-0.193546938,-0.019463863,-0.235664764,-0.68396445
0,13,13.6,385836,0,125840,93309,7180,0,776264,64,0.180264064,-0.019463863,-0.235664764,-0.68396445
0,12,14.6,366784,0,337304,165680,18692,1,1187192.914,48,0.180264064,0.248929095,0.583192905,0.013849095
0,9,20.3,388124,0,99999999,51623,2317,0,1511108,73,-0.193546938,-0.212403717,-0.235664764,0.126700744
0,13,12,330374,0,250888,89015,19761,1,1040060,18,0.180264064,0.248929095,-0.235664764,0.126700744
0,17,15.7,0,1,129734,19,17,0,1180601.705,48,-0.193546938,-0.212403717,-0.235664764,-0.1128066
0,10,24.6,511302,0,572880,205333,17613,1,1521791.046,6,-0.193546938,-0.019463863,0.583192905,0.126700744
0,12,17.6,839080,0,441100,402914,15528,0,1828560,26,-0.193546938,-0.019463863,-0.235664764,0.013849095
0,8,14,443608,0,337766,315305,19446,0,933432,26,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,11,17.7,1602546,0,185262,1374327,58352,0,2258796,51,0.092368046,0.248929095,-0.235664764,0.013849095
0,9,18.4,296186,0,145134,41439,12939,0,848464,31,0.180264064,-0.019463863,-0.235664764,0.126700744
0,6,17.8,899492,0,313038,538346,18844,1,1144139.086,31,0.180264064,-0.019463863,0.583192905,0.013849095
0,9,29,387222,0,553586,201989,13434,1,1401744,40,-0.193546938,-0.019463863,0.583192905,0.013849095
0,11,26.5,663894,0,585090,252852,8742,0,1651993,44,-0.193546938,-0.019463863,0.583192905,0.126700744
0,7,34.4,401104,0,324852,183597,7786,1,1047394,45,-0.193546938,-0.019463863,-0.235664764,0.013849095
0,6,28.3,288442,0,99999999,157700,5063,0,463790,30,0.180264064,-0.019463863,-0.235664764,-0.68396445
0,17,14.8,700040,0,174878,168074,17132,1,1028533.075,17,0.092368046,-0.019463863,-0.235664764,0.126700744
0,12,25,1216336,0,467676,818311,37530,0,1700769.717,61,0.092368046,-0.019463863,-0.235664764,-0.68396445
0,3,29.8,1231912,0,108042,1036279,22225,0,1353142,23,0.180264064,0.248929095,-0.235664764,0.126700744
0,7,14.5,328394,0,99999999,195966,6041,0,1004055,30,0.180264064,-0.019463863,-0.235664764,-0.68396445
0,12,19.5,533808,0,155782,262314,13807,0,711094,27,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,8,14,225016,1,99999999,147687,6128,0,612750,30,0.180264064,-0.019463863,-0.235664764,0.013849095
0,11,20.5,845548,0,99999999,640433,26549,0,1289796,30,0.092368046,-0.019463863,0.583192905,0.126700744
0,19,25,1303082,0,265188,495178,28247,1,1526840,14,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,6,10.2,802692,0,43978,550430,21839,0,1899050,25,0.180264064,-0.212403717,-0.235664764,-0.1128066
0,8,14.5,409222,0,667458,206758,18846,1,1673362.897,14,-0.193546938,0.248929095,0.583192905,0.013849095
0,13,18,608652,0,122936,221825,10806,1,1016118.487,27,0.180264064,-0.019463863,-0.235664764,-0.1128066
0,15,17.6,1480182,0,120670,58805,10200,0,1395645,75,0.180264064,-0.019463863,-0.235664764,0.013849095
3,12,7.6,337722,0,175384,160417,21868,1,852017,53,-0.193546938,-0.019463863,-0.235664764,0.013849095
0,13,23.7,339724,0,246004,198341,14670,1,709821,65,0.180264064,-0.019463863,0.583192905,0.126700744
0,20,15,763422,0,241230,306584,9014,0,1350349,10,0.180264064,-0.019463863,-0.235664764,0.126700744
0,10,9.4,348678,0,191136,165927,12031,1,1027484.025,57,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,17,15.4,380052288,0,33110,656450,34357,0,1334256,35,-0.193546938,-0.212403717,-0.235664764,0.126700744
0,6,27.3,263604,0,99999999,121353,23527,0,1721457,6,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,18,18,1447468,0,215490,612541,24039,0,1242435.443,44,0.092368046,-0.019463863,-0.235664764,-0.1128066
0,14,18.7,252670,0,323796,94696,25005,1,1159446.829,29,-0.193546938,-0.212403717,0.583192905,-0.68396445
0,6,22.2,279642,0,220308,181127,9379,0,665931,49,0.180264064,-0.019463863,0.583192905,-0.1128066
0,8,9.5,564168,0,265320,183198,13137,0,916560,35,0.180264064,-0.019463863,-0.235664764,-0.1128066
0,19,34.4,1685794,0,768922,267881,13889,0,2276808,8,-0.193546938,-0.019463863,0.583192905,0.126700744
0,7,17.6,293766,1,175516,149948,3767,1,1029856.222,71,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,7,18,89100,0,130328,39235,18351,0,1174691.414,13,0.180264064,0.248929095,0.583192905,0.013849095
0,7,19.2,458590,0,468138,2774,12865,0,1520969,60,0.180264064,-0.212403717,-0.235664764,0.126700744
0,7,16.3,37290,0,71258,27569,12592,1,719549,24,0.180264064,-0.019463863,0.583192905,0.013849095
0,9,10.7,642092,0,312026,296685,13006,1,1144139.086,65,0.180264064,-0.019463863,-0.235664764,0.126700744
0,10,17.3,697114,0,230362,260680,6181,0,1630029,38,-0.193546938,-0.019463863,0.583192905,-0.68396445
0,8,16,233420,0,333564,122569,23949,0,1670860,61,-0.193546938,-0.019463863,0.583192905,0.013849095
0,7,16.6,197120,0,177166,114741,12671,1,573762,54,0.180264064,-0.019463863,-0.235664764,0.126700744
0,10,15.6,697642,0,156508,398259,28077,0,1180776.99,36,0.180264064,-0.019463863,-0.235664764,0.126700744
0,11,11.3,693418,1,266398,147915,21461,0,1327648.721,56,-0.193546938,-0.019463863,-0.235664764,0.126700744
0,10,22.2,660374,0,482152,494475,39559,0,2157773,13,0.180264064,-0.019463863,-0.235664764,0.013849095
